Date,Settlement_Period,Generator_Name,Generator_Full_Name,BOA_Volume
2023-04-01,1,AKGLW-2,Aikengall 2,-13
2023-04-01,1,AKGLW-3,Aikengall 3,-27.5
2023-04-01,1,BABAW-1,Baillie,-23
2023-04-01,1,BHLAW-1,Bhlaraidh,-4
2023-04-01,1,BTUIW-3,Beinn an Tuirc Phase 3,-23.016
2023-04-01,1,CLDCW-1,Clyde Central,-31.266
2023-04-01,1,CLDNW-1,Clyde North,-30.516
2023-04-01,1,CRDEW-1,Crossdykes,-6
2023-04-01,1,DOREW-1,Dorenell 1,-21
2023-04-01,1,DOREW-2,Dorenell 2,-14
2023-04-01,1,GORDW-2,Gordonbush Ext,-31
2023-04-01,1,HALSW-1,Halsary Forest,-16
2023-04-01,1,KPMRW-1,Kype Muir,-13
2023-04-01,1,MIDMW-1,Middle Muir,-6
2023-04-01,1,PNYCW-1,Pen-y-Cymoedd,-2.8
2023-04-01,1,STRNW-1,Strathy North,-32.016
2023-04-01,2,AKGLW-2,Aikengall 2,-13.034
2023-04-01,2,AKGLW-3,Aikengall 3,-28
2023-04-01,2,BABAW-1,Baillie,-20.166
2023-04-01,2,BHLAW-1,Bhlaraidh,-3.666
2023-04-01,2,BTUIW-3,Beinn an Tuirc Phase 3,-21.034
2023-04-01,2,CLDCW-1,Clyde Central,-32.95
2023-04-01,2,CLDNW-1,Clyde North,-38.966
2023-04-01,2,CRDEW-1,Crossdykes,-6
2023-04-01,2,DOREW-1,Dorenell 1,-21
2023-04-01,2,DOREW-2,Dorenell 2,-13.5
2023-04-01,2,EAAO-2,East Anglia One Part 2,-0.866
2023-04-01,2,GORDW-2,Gordonbush Ext,-30.984
2023-04-01,2,HALSW-1,Halsary Forest,-14
2023-04-01,2,KPMRW-1,Kype Muir,-14
2023-04-01,2,MIDMW-1,Middle Muir,-6
2023-04-01,2,PNYCW-1,Pen-y-Cymoedd,-114.3
2023-04-01,2,STRNW-1,Strathy North,-29.334
2023-04-01,3,AKGLW-3,Aikengall 3,-11.666
2023-04-01,3,BTUIW-3,Beinn an Tuirc Phase 3,-4.55
2023-04-01,3,CLDCW-1,Clyde Central,-2.834
2023-04-01,3,CLDNW-1,Clyde North,-0.634
2023-04-01,3,CRDEW-1,Crossdykes,-0.1
2023-04-01,3,DOREW-1,Dorenell 1,-5.588
2023-04-01,3,DOREW-2,Dorenell 2,-3.232
2023-04-01,3,GORDW-2,Gordonbush Ext,-5.5
2023-04-01,3,HALSW-1,Halsary Forest,-4.75
2023-04-01,3,KPMRW-1,Kype Muir,-0.332
2023-04-01,3,MIDMW-1,Middle Muir,-0.3
2023-04-03,23,DOREW-1,Dorenell 1,-13.542
2023-04-03,23,DOREW-2,Dorenell 2,-9.534
2023-04-03,23,GORDW-2,Gordonbush Ext,-2.266
2023-04-03,23,HALSW-1,Halsary Forest,-0.45
2023-04-03,24,DOREW-1,Dorenell 1,-30.5
2023-04-03,24,DOREW-2,Dorenell 2,-22
2023-04-03,24,GORDW-2,Gordonbush Ext,-6.016
2023-04-03,25,DOREW-1,Dorenell 1,-29.5
2023-04-03,25,DOREW-2,Dorenell 2,-22
2023-04-03,25,GORDW-2,Gordonbush Ext,-7.034
2023-04-03,25,HALSW-1,Halsary Forest,-1
2023-04-03,26,CLDRW-1,Clashindarroch,-2.2
2023-04-03,26,DOREW-1,Dorenell 1,-28.5
2023-04-03,26,DOREW-2,Dorenell 2,-22
2023-04-03,26,GORDW-2,Gordonbush Ext,-9
2023-04-03,26,HALSW-1,Halsary Forest,-2
2023-04-03,27,CLDRW-1,Clashindarroch,-11
2023-04-03,27,DOREW-1,Dorenell 1,-28
2023-04-03,27,DOREW-2,Dorenell 2,-23
2023-04-03,27,GORDW-2,Gordonbush Ext,-9.016
2023-04-03,27,HALSW-1,Halsary Forest,-2
2023-04-03,28,CLDRW-1,Clashindarroch,-2.016
2023-04-03,28,DOREW-1,Dorenell 1,-27.066
2023-04-03,28,DOREW-2,Dorenell 2,-22.234
2023-04-03,28,GORDW-2,Gordonbush Ext,-9
2023-04-03,28,HALSW-1,Halsary Forest,-2
2023-04-03,29,GORDW-2,Gordonbush Ext,-4.65
2023-04-03,29,HALSW-1,Halsary Forest,-0.25
2023-04-03,37,DOREW-1,Dorenell 1,-22.992
2023-04-03,37,DOREW-2,Dorenell 2,-18.886
2023-04-03,38,DOREW-1,Dorenell 1,-6.568
2023-04-03,38,DOREW-2,Dorenell 2,-6.446
2023-04-04,6,CLDNW-1,Clyde North,-66.966
2023-04-04,7,AKGLW-2,Aikengall 2,-0.596
2023-04-04,7,AKGLW-3,Aikengall 3,-12.028
2023-04-04,7,BABAW-1,Baillie,-0.134
2023-04-04,7,BHLAW-1,Bhlaraidh,-3.25
2023-04-04,7,BTUIW-3,Beinn an Tuirc Phase 3,-10.334
2023-04-04,7,CLDNW-1,Clyde North,-17.766
2023-04-04,7,CLDRW-1,Clashindarroch,-2.25
2023-04-04,7,CRDEW-1,Crossdykes,-1.75
2023-04-04,7,CRDEW-2,Crossdykes 2,-1.75
2023-04-04,7,DOREW-1,Dorenell 1,-17.07
2023-04-04,7,DOREW-2,Dorenell 2,-14.27
2023-04-04,7,DOUGW-1,Douglas West,-9.25
2023-04-04,7,GORDW-2,Gordonbush Ext,-3.05
2023-04-04,7,HALSW-1,Halsary Forest,-3.166
2023-04-04,8,AKGLW-2,Aikengall 2,-32.966
2023-04-04,8,AKGLW-3,Aikengall 3,-48.5
2023-04-04,8,BABAW-1,Baillie,-9
2023-04-04,8,BHLAW-1,Bhlaraidh,-27.016
2023-04-04,8,BTUIW-3,Beinn an Tuirc Phase 3,-31.984
2023-04-04,8,CLDRW-1,Clashindarroch,-9
2023-04-04,8,CRDEW-1,Crossdykes,-7
2023-04-04,8,CRDEW-2,Crossdykes 2,-7
2023-04-04,8,DOREW-1,Dorenell 1,-45.5
2023-04-04,8,DOREW-2,Dorenell 2,-38
2023-04-04,8,DOUGW-1,Douglas West,-28.5
2023-04-04,8,GORDW-2,Gordonbush Ext,-6.984
2023-04-04,8,HALSW-1,Halsary Forest,-9
2023-04-04,8,STRNW-1,Strathy North,-7.884
2023-04-04,9,AKGLW-2,Aikengall 2,-34
2023-04-04,9,AKGLW-3,Aikengall 3,-49
2023-04-04,9,BABAW-1,Baillie,-10
2023-04-04,9,BHLAW-1,Bhlaraidh,-28.034
2023-04-04,9,BTUIW-3,Beinn an Tuirc Phase 3,-31.016
2023-04-04,9,CLDRW-1,Clashindarroch,-8.5
2023-04-04,9,CRDEW-1,Crossdykes,-7
2023-04-04,9,CRDEW-2,Crossdykes 2,-7
2023-04-04,9,DOREW-1,Dorenell 1,-42.5
2023-04-04,9,DOREW-2,Dorenell 2,-35.5
2023-04-04,9,DOUGW-1,Douglas West,-28
2023-04-04,9,GORDW-2,Gordonbush Ext,-4.984
2023-04-04,9,HALSW-1,Halsary Forest,-10
2023-04-04,9,MOWEO-1,Moray Firth Eastern 1,-37.584
2023-04-04,9,MOWEO-3,Moray Firth Eastern 3,-41.084
2023-04-04,9,SANQW-1,Sanquhar,-15.03
2023-04-04,9,STRNW-1,Strathy North,-9
2023-04-04,10,AKGLW-2,Aikengall 2,-34
2023-04-04,10,AKGLW-3,Aikengall 3,-49
2023-04-04,10,BABAW-1,Baillie,-10
2023-04-04,10,BHLAW-1,Bhlaraidh,-30.034
2023-04-04,10,BRDUW-1,Braes of Doune,-3.1
2023-04-04,10,BTUIW-3,Beinn an Tuirc Phase 3,-33.95
2023-04-04,10,CAIRW-2,Cairn Uish 2 (Rothes 2),-2.066
2023-04-04,10,CLDRW-1,Clashindarroch,-8
2023-04-04,10,CRDEW-1,Crossdykes,-7
2023-04-04,10,CRDEW-2,Crossdykes 2,-7
2023-04-04,10,DOREW-1,Dorenell 1,-41
2023-04-04,10,DOREW-2,Dorenell 2,-34.5
2023-04-04,10,DOUGW-1,Douglas West,-28
2023-04-04,10,GORDW-2,Gordonbush Ext,-4.016
2023-04-04,10,HALSW-1,Halsary Forest,-9
2023-04-04,10,KPMRW-1,Kype Muir,-16.576
2023-04-04,10,MIDMW-1,Middle Muir,-7.292
2023-04-04,10,MOWEO-1,Moray Firth Eastern 1,-155
2023-04-04,10,MOWEO-3,Moray Firth Eastern 3,-84
2023-04-04,10,SAKNW-1,Sandy Knowe,-22.878
2023-04-04,10,SANQW-1,Sanquhar,-26.5
2023-04-04,10,STRNW-1,Strathy North,-9
2023-04-04,10,TMNCW-1,Tom Nan Clach,-16.9
2023-04-04,10,TWSHW-1,Twentyshilling Hill,-14.466
2023-04-04,10,WDRGW-1,Windy Rig,-10.946
2023-04-04,11,AKGLW-2,Aikengall 2,-43.94
2023-04-04,11,AKGLW-3,Aikengall 3,-48
2023-04-04,11,BABAW-1,Baillie,-10.084
