Sett_Date,Sett_Period,Scottish Wind Output,England/Wales Wind Output,Total
2019-04-01,1,1171.722,4469.666,5641.388
2019-04-01,2,1209.986,4331.886,5541.872
2019-04-01,3,1250.194,4265.432,5515.626
2019-04-01,4,1356.724,4188.982,5545.706
2019-04-01,5,1379.478,4078.468,5457.946
2019-04-01,6,1398.63,4051.722,5450.352
2019-04-01,7,1425.684,3982.49,5408.174
2019-04-01,8,1473.126,3842.364,5315.49
2019-04-01,9,1599.136,3814.718,5413.854
2019-04-01,10,1644.11,3854.7,5498.81
2019-04-01,11,1737.8,3866.28,5604.08
2019-04-01,12,1808.386,3913.584,5721.97
2019-04-01,13,1972.01,4112.14,6084.15
2019-04-01,14,1981.746,4264.968,6246.714
2019-04-01,15,2023.456,4393.88,6417.336
2019-04-01,16,2071.138,4300.13,6371.268
2019-04-01,17,2210.764,4202.634,6413.398
2019-04-01,18,2309.158,4119.832,6428.99
2019-04-01,19,2380.42,3932.412,6312.832
2019-04-01,20,2566.122,3682.214,6248.336
2019-04-01,21,2707.954,3399.05,6107.004
2019-04-01,22,2804.462,3156.694,5961.156
2019-04-01,23,3010.322,2948.77,5959.092
2019-04-01,24,3249.712,2670.734,5920.446
2019-04-01,25,3452.756,2619.982,6072.738
2019-04-01,26,3452.37,2462.486,5914.856
2019-04-01,27,3532.184,2262.478,5794.662
2019-04-01,28,3522.21,2075.05,5597.26
2019-04-01,29,3563.246,1889.362,5452.608
2019-04-01,30,3502.608,1665.582,5168.19
2019-04-01,31,3450.214,1492.12,4942.334
2019-04-01,32,3505.702,1436.114,4941.816
2019-04-01,33,3516.856,1379.82,4896.676
2019-04-01,34,3619.828,1250.076,4869.904
2019-04-01,35,3509.778,1170.428,4680.206
2019-04-01,36,3347.182,1074.956,4422.138
2019-04-01,37,3322.384,939.346,4261.73
2019-04-01,38,3197.698,874.146,4071.844
2019-04-01,39,3089.296,764.65,3853.946
2019-04-01,40,2977.24,741.818,3719.058
2019-04-01,41,2715.964,774.266,3490.23
2019-04-01,42,2649.764,813.742,3463.506
2019-04-01,43,2571.012,841.79,3412.802
2019-04-01,44,2552.56,933.198,3485.758
2019-04-01,45,2532.492,1225.302,3757.794
2019-04-01,46,2356.89,1363.648,3720.538
2019-04-01,47,2104.246,1365.4,3469.646
2019-04-01,48,1893.602,1454.946,3348.548
2019-04-02,1,1668.79,1291.742,2960.532
2019-04-02,2,1554.378,964.49,2518.868
2019-04-02,3,1199.532,786.224,1985.756
2019-04-02,4,922.728,817.756,1740.484
2019-04-02,5,864.816,929.942,1794.758
2019-04-02,6,772.74,995.302,1768.042
2019-04-02,7,782.098,1060.944,1843.042
2019-04-02,8,775.034,1118.086,1893.12
2019-04-02,9,838.328,1207.2,2045.528
2019-04-02,10,775.922,1299.22,2075.142
2019-04-02,11,619.738,1656.266,2276.004
2019-04-02,12,635.71,1925.814,2561.524
2019-04-02,13,619.072,1989.94,2609.012
2019-04-02,14,654.34,1944.508,2598.848
2019-04-02,15,637.78,1915.23,2553.01
2019-04-02,16,554.216,1807.038,2361.254
2019-04-02,17,518.768,1855.984,2374.752
2019-04-02,18,518.714,1651.464,2170.178
2019-04-02,19,495.772,1653.17,2148.942
2019-04-02,20,545.638,1869.096,2414.734
2019-04-02,21,574.648,1855.592,2430.24
2019-04-02,22,515.22,1740.232,2255.452
2019-04-02,23,535.56,1653.514,2189.074
2019-04-02,24,582.898,1668.204,2251.102
2019-04-02,25,707.26,1569.828,2277.088
2019-04-02,26,632.596,1463.176,2095.772
2019-04-02,27,619.746,1673.278,2293.024
2019-04-02,28,723.126,1681.382,2404.508
2019-04-02,29,858.204,1704.272,2562.476
2019-04-02,30,972.134,1988.754,2960.888
2019-04-02,31,947.788,2247.604,3195.392
2019-04-02,32,1052.092,2331.138,3383.23
2019-04-02,33,1156.99,1814.608,2971.598
2019-04-02,34,1397.788,1501.048,2898.836
2019-04-02,35,1468.958,1315.736,2784.694
2019-04-02,36,1662.456,1365.608,3028.064
2019-04-02,37,1765.672,1371.484,3137.156
2019-04-02,38,1677.906,1216.91,2894.816
2019-04-02,39,1889.33,980.858,2870.188
2019-04-02,40,1981.648,1305.958,3287.606
2019-04-02,41,2192.404,1103.596,3296
2019-04-02,42,2211.556,805.02,3016.576
2019-04-02,43,2427.594,837.084,3264.678
2019-04-02,44,2614.994,1071.32,3686.314
2019-04-02,45,2789.278,1005.03,3794.308
2019-04-02,46,2898.134,960.49,3858.624
2019-04-02,47,2903.004,1032.056,3935.06
2019-04-02,48,2988.136,891.51,3879.646
2019-04-03,1,3151.996,897.42,4049.416
2019-04-03,2,3399.516,636.004,4035.52
2019-04-03,3,3759.898,435.094,4194.992
2019-04-03,4,3954.23,447.726,4401.956
2019-04-03,5,3898.378,662.932,4561.31
2019-04-03,6,4030.242,1021.286,5051.528
2019-04-03,7,3885.5,1264.806,5150.306
2019-04-03,8,3353.768,1789.778,5143.546
2019-04-03,9,3154.196,1707.186,4861.382
2019-04-03,10,3295.926,1332.118,4628.044
2019-04-03,11,3528.754,1834.582,5363.336
2019-04-03,12,3120.996,2517.796,5638.792
2019-04-03,13,2954.486,2518.546,5473.032
2019-04-03,14,3362.996,2427.622,5790.618
2019-04-03,15,3396.676,2490.99,5887.666
2019-04-03,16,3620.532,2512.498,6133.03
2019-04-03,17,3639.576,2383.708,6023.284
2019-04-03,18,3960.326,2332.51,6292.836
2019-04-03,19,4260.824,2378.244,6639.068
2019-04-03,20,4282.11,2337.342,6619.452
2019-04-03,21,4083.226,2325.456,6408.682
2019-04-03,22,3767.552,2351.86,6119.412
2019-04-03,23,3653.984,2287.756,5941.74
2019-04-03,24,3521.426,2121.542,5642.968
2019-04-03,25,3350.746,1929.782,5280.528
2019-04-03,26,3268.44,1403.694,4672.134
2019-04-03,27,3107.18,863.218,3970.398
2019-04-03,28,2858.154,495.766,3353.92
2019-04-03,29,2575.438,260.072,2835.51
2019-04-03,30,2459.886,232.076,2691.962
2019-04-03,31,2486.284,362.306,2848.59
2019-04-03,32,2397.5,298.434,2695.934
2019-04-03,33,2313.486,244.728,2558.214
2019-04-03,34,2268.932,287.674,2556.606
2019-04-03,35,2330.774,339.754,2670.528
2019-04-03,36,2486.882,389.896,2876.778
2019-04-03,37,2590.75,488.38,3079.13
2019-04-03,38,2785.59,528.132,3313.722
2019-04-03,39,2807.06,414.032,3221.092
2019-04-03,40,2768.912,366.034,3134.946
2019-04-03,41,2754.038,434.522,3188.56
2019-04-03,42,2734.502,636.61,3371.112
2019-04-03,43,2735.092,876.704,3611.796
2019-04-03,44,2773.354,1311.77,4085.124
2019-04-03,45,2656.92,1611.372,4268.292
2019-04-03,46,2536.144,1987.836,4523.98
2019-04-03,47,2628.898,1892.216,4521.114
2019-04-03,48,2673.978,1737.068,4411.046
2019-04-04,1,2488.792,1716.384,4205.176
2019-04-04,2,2518.574,1618.398,4136.972
2019-04-04,3,2591.096,1573.362,4164.458
2019-04-04,4,2526.796,1759.982,4286.778
2019-04-04,5,2502.07,1975.19,4477.26
2019-04-04,6,2589.736,2092.556,4682.292
2019-04-04,7,2635.19,2080.282,4715.472
2019-04-04,8,2606.068,1969.844,4575.912
2019-04-04,9,2558.224,2199.598,4757.822
2019-04-04,10,2414.208,2245.604,4659.812
2019-04-04,11,2247.45,2180.376,4427.826
2019-04-04,12,2091.07,2402.418,4493.488
2019-04-04,13,2049.54,2593.852,4643.392
2019-04-04,14,2066.596,3005.802,5072.398
2019-04-04,15,1927.332,3056.696,4984.028
2019-04-04,16,1824.036,3035.916,4859.952
2019-04-04,17,1811.836,3578.45,5390.286
2019-04-04,18,1731.696,3767.442,5499.138
2019-04-04,19,1713.026,3739.996,5453.022
2019-04-04,20,1680.24,3967.646,5647.886
2019-04-04,21,1662.144,4258.668,5920.812
2019-04-04,22,1812.156,4544.922,6357.078
2019-04-04,23,2028.026,4930.24,6958.266
2019-04-04,24,2240.282,5144.15,7384.432
2019-04-04,25,2347.23,5296.854,7644.084
2019-04-04,26,2223.562,5443.422,7666.984
2019-04-04,27,2268.426,5542.236,7810.662
2019-04-04,28,2447.44,5588.812,8036.252
2019-04-04,29,2743.118,5686.438,8429.556
2019-04-04,30,3034.282,5697.876,8732.158
2019-04-04,31,3224.864,5644.938,8869.802
2019-04-04,32,3429.03,5514.898,8943.928
2019-04-04,33,3594.576,5475.006,9069.582
2019-04-04,34,3886.65,5003.144,8889.794
2019-04-04,35,4117.084,5037.492,9154.576
2019-04-04,36,4215.048,5166.67,9381.718
2019-04-04,37,4214.138,5091.19,9305.328
2019-04-04,38,4284.34,5235.912,9520.252
2019-04-04,39,4202.762,5356.17,9558.932
2019-04-04,40,4164.04,5481.6,9645.64
2019-04-04,41,4282.84,5501.17,9784.01
2019-04-04,42,4311.228,5586.49,9897.718
2019-04-04,43,4166.054,5783.794,9949.848
2019-04-04,44,3936.456,5787.358,9723.814
2019-04-04,45,3893.032,5964.076,9857.108
2019-04-04,46,3893.008,5978.486,9871.494
2019-04-04,47,3905.814,5988.79,9894.604
2019-04-04,48,3750.494,5863.322,9613.816
2019-04-05,1,3762.032,5847.73,9609.762
2019-04-05,2,3744.602,5675.782,9420.384
2019-04-05,3,3771.124,5584.646,9355.77
2019-04-05,4,3684.448,5450.09,9134.538
2019-04-05,5,3704.498,5351.746,9056.244
2019-04-05,6,3847.16,5446.734,9293.894
2019-04-05,7,3772.24,5278.816,9051.056
2019-04-05,8,3759.522,5252.326,9011.848
2019-04-05,9,3739.842,5081.75,8821.592
2019-04-05,10,3734.92,4998.606,8733.526
2019-04-05,11,3708.162,4946.354,8654.516
2019-04-05,12,3904.154,4864.824,8768.978
2019-04-05,13,3900.924,4896.362,8797.286
2019-04-05,14,3897.058,4965.6,8862.658
2019-04-05,15,3865.898,4879.482,8745.38
2019-04-05,16,3826.574,4790.032,8616.606
2019-04-05,17,3758.604,4624.01,8382.614
2019-04-05,18,3565.882,4458.786,8024.668
2019-04-05,19,3495.204,4666.67,8161.874
2019-04-05,20,3615.3,4835.442,8450.742
2019-04-05,21,3785.344,4713.554,8498.898
2019-04-05,22,3864.904,4498.136,8363.04
2019-04-05,23,4049,4497.828,8546.828
2019-04-05,24,4190.104,4409.068,8599.172
2019-04-05,25,4225.612,4364.686,8590.298
2019-04-05,26,4220.446,4401.504,8621.95
2019-04-05,27,4007.11,4459.354,8466.464
2019-04-05,28,3931.504,4488.062,8419.566
2019-04-05,29,3711.672,4411.758,8123.43
2019-04-05,30,3670.86,4071.282,7742.142
2019-04-05,31,3493.772,3683.01,7176.782
2019-04-05,32,3284.826,3662.228,6947.054
2019-04-05,33,3221.14,3624.584,6845.724
2019-04-05,34,3160,3731.71,6891.71
2019-04-05,35,3049.186,3815.658,6864.844
2019-04-05,36,2692.514,3555.618,6248.132
2019-04-05,37,2398.682,3039.728,5438.41
2019-04-05,38,2276.92,2767.882,5044.802
2019-04-05,39,2253.048,2926.53,5179.578
2019-04-05,40,2372.904,3228.908,5601.812
2019-04-05,41,2316.31,3954.596,6270.906
2019-04-05,42,2280.638,4220.952,6501.59
2019-04-05,43,2186.348,4492.468,6678.816
2019-04-05,44,1968.576,4802.406,6770.982
2019-04-05,45,1803.018,4721.394,6524.412
2019-04-05,46,1713.906,4655.01,6368.916
2019-04-05,47,1569.732,4389.56,5959.292
2019-04-05,48,1535.454,3962.236,5497.69
2019-04-06,1,1523.09,3605.066,5128.156
2019-04-06,2,1384.438,3282.528,4666.966
2019-04-06,3,1372.124,3180.382,4552.506
2019-04-06,4,1332.01,2991.826,4323.836
2019-04-06,5,1271.92,2869.672,4141.592
2019-04-06,6,1239.438,2914.58,4154.018
2019-04-06,7,1233.394,2565.756,3799.15
2019-04-06,8,1182.948,2393.114,3576.062
2019-04-06,9,1074.336,2287.048,3361.384
2019-04-06,10,937.598,2141.356,3078.954
2019-04-06,11,970.848,1789.424,2760.272
2019-04-06,12,920.728,1756.484,2677.212
2019-04-06,13,968.186,1705.672,2673.858
2019-04-06,14,938.938,1620.824,2559.762
2019-04-06,15,956.72,1658.502,2615.222
2019-04-06,16,1020.154,1735.73,2755.884
2019-04-06,17,1056.208,1644.61,2700.818
2019-04-06,18,1122.21,1623.004,2745.214
2019-04-06,19,1142.298,1406.77,2549.068
2019-04-06,20,1167.998,1192.592,2360.59
2019-04-06,21,1216.818,1058.46,2275.278
2019-04-06,22,1209.29,876.062,2085.352
2019-04-06,23,1254.734,815.608,2070.342
2019-04-06,24,1247.968,795.244,2043.212
2019-04-06,25,1306.538,766.668,2073.206
2019-04-06,26,1341.04,761.378,2102.418
2019-04-06,27,1352.406,748.806,2101.212
2019-04-06,28,1433.764,680.266,2114.03
2019-04-06,29,1510.596,654.138,2164.734
2019-04-06,30,1596.964,677.782,2274.746
2019-04-06,31,1661.298,780.218,2441.516
2019-04-06,32,1724.888,763.47,2488.358
2019-04-06,33,1769.862,786.664,2556.526
2019-04-06,34,1743.54,815.806,2559.346
2019-04-06,35,1745.522,920.56,2666.082
2019-04-06,36,1763.176,1089.236,2852.412
2019-04-06,37,1847.258,1170.41,3017.668
2019-04-06,38,1923.656,1205.858,3129.514
2019-04-06,39,2125.376,1183.626,3309.002
2019-04-06,40,2296.002,1276.112,3572.114
2019-04-06,41,2454.826,1359.782,3814.608
2019-04-06,42,2526.5,1307.422,3833.922
2019-04-06,43,2565.052,1242.146,3807.198
2019-04-06,44,2590.784,1150.344,3741.128
2019-04-06,45,2648.926,1205.798,3854.724
2019-04-06,46,2622.246,1110.422,3732.668
2019-04-06,47,2603.338,1193.344,3796.682
2019-04-06,48,2611.04,1298.726,3909.766
2019-04-07,1,2620.382,1220.74,3841.122
2019-04-07,2,2691.038,1216.524,3907.562
2019-04-07,3,2607.762,1335.594,3943.356
2019-04-07,4,2507.856,1378.516,3886.372
2019-04-07,5,2431.466,1292.464,3723.93
2019-04-07,6,2467.012,1258.752,3725.764
2019-04-07,7,2465.862,1258.386,3724.248
2019-04-07,8,2492.866,1184,3676.866
2019-04-07,9,2515.748,1271.934,3787.682
2019-04-07,10,2483.632,1285.164,3768.796
2019-04-07,11,2508.352,1221.086,3729.438
2019-04-07,12,2506.356,1323.11,3829.466
2019-04-07,13,2456.636,1353.564,3810.2
2019-04-07,14,2325.214,1349.092,3674.306
2019-04-07,15,2286.126,1422.424,3708.55
2019-04-07,16,2311.738,1323.386,3635.124
2019-04-07,17,2381.654,1372.368,3754.022
2019-04-07,18,2436.378,1421.892,3858.27
2019-04-07,19,2360.346,1488.538,3848.884
2019-04-07,20,2413.376,1586.058,3999.434
2019-04-07,21,2366.548,1579.784,3946.332
2019-04-07,22,2412.608,1856.07,4268.678
2019-04-07,23,2370.844,2167.014,4537.858
2019-04-07,24,2315.182,2287.036,4602.218
2019-04-07,25,2334.856,2253.302,4588.158
2019-04-07,26,2325.186,2049.092,4374.278
2019-04-07,27,2297.072,1835.666,4132.738
2019-04-07,28,2322.254,1817.536,4139.79
2019-04-07,29,2227.534,1906.934,4134.468
2019-04-07,30,2226.712,1833.892,4060.604
2019-04-07,31,2212.876,1667.534,3880.41
2019-04-07,32,2196.002,1549.072,3745.074
2019-04-07,33,2236.252,1485.942,3722.194
2019-04-07,34,2188.888,1404.482,3593.37
2019-04-07,35,2226.244,1277.48,3503.724
2019-04-07,36,2224.826,1151.372,3376.198
2019-04-07,37,2222.622,1085.55,3308.172
2019-04-07,38,2267.032,1111.5,3378.532
2019-04-07,39,2304.864,1144.44,3449.304
2019-04-07,40,2371.988,1116.332,3488.32
2019-04-07,41,2425.81,1119.588,3545.398
2019-04-07,42,2428.924,1238.852,3667.776
2019-04-07,43,2511.266,1316.748,3828.014
2019-04-07,44,2558.238,1298.304,3856.542
2019-04-07,45,2591.324,1167.972,3759.296
2019-04-07,46,2697.312,1096.566,3793.878
2019-04-07,47,2673.59,1202.138,3875.728
2019-04-07,48,2650.24,1201.036,3851.276
2019-04-08,1,2798.256,1178.87,3977.126
2019-04-08,2,2771.58,1200.192,3971.772
2019-04-08,3,2726.938,1206.424,3933.362
2019-04-08,4,2737.346,1171.568,3908.914
2019-04-08,5,2814.306,1176.352,3990.658
2019-04-08,6,2793.914,1123.428,3917.342
2019-04-08,7,2773.384,1063.11,3836.494
2019-04-08,8,2692.774,1019.844,3712.618
2019-04-08,9,2558.236,999.284,3557.52
2019-04-08,10,2455.214,1035.664,3490.878
2019-04-08,11,2394.968,1037.084,3432.052
2019-04-08,12,2333.408,1152.07,3485.478
2019-04-08,13,2280.376,1275.078,3555.454
2019-04-08,14,2275.788,1472.272,3748.06
2019-04-08,15,2222.15,1504.382,3726.532
2019-04-08,16,2104.648,1451.95,3556.598
2019-04-08,17,2001.91,1438.102,3440.012
2019-04-08,18,1920.338,1536.428,3456.766
2019-04-08,19,1891.074,1542.35,3433.424
2019-04-08,20,1894.2,1456.788,3350.988
2019-04-08,21,1871.604,1473.29,3344.894
2019-04-08,22,1827.352,1569.292,3396.644
2019-04-08,23,1801.95,1569.484,3371.434
2019-04-08,24,1753.168,1565.81,3318.978
2019-04-08,25,1796.026,1668.738,3464.764
2019-04-08,26,1745.89,1804.106,3549.996
2019-04-08,27,1717.786,1831.692,3549.478
2019-04-08,28,1667.54,1753.16,3420.7
2019-04-08,29,1689.116,1652.524,3341.64
2019-04-08,30,1724.456,1649.176,3373.632
2019-04-08,31,1791.802,1834.08,3625.882
2019-04-08,32,1826.618,2046.31,3872.928
2019-04-08,33,1846.95,2241.384,4088.334
2019-04-08,34,1782.326,2451.724,4234.05
2019-04-08,35,1779.04,2656.714,4435.754
2019-04-08,36,1772.852,2756.522,4529.374
2019-04-08,37,1752.832,2883.118,4635.95
2019-04-08,38,1781.578,2972.23,4753.808
2019-04-08,39,1694.022,3058.716,4752.738
2019-04-08,40,1648.822,3007.696,4656.518
2019-04-08,41,1688.58,3127.876,4816.456
2019-04-08,42,1780.606,3191.96,4972.566
2019-04-08,43,1841.606,2991.25,4832.856
2019-04-08,44,1934.096,2926.498,4860.594
2019-04-08,45,1922.422,2874.932,4797.354
2019-04-08,46,2044.466,2848.634,4893.1
2019-04-08,47,2235.322,2857.758,5093.08
2019-04-08,48,2330.79,2781.49,5112.28
2019-04-09,1,2408.73,2945.006,5353.736
2019-04-09,2,2428.56,2959.65,5388.21
2019-04-09,3,2397.77,2945.414,5343.184
2019-04-09,4,2459.47,3187.718,5647.188
2019-04-09,5,2529.688,3225.098,5754.786
2019-04-09,6,2481.168,3249.28,5730.448
2019-04-09,7,2455.71,3261.722,5717.432
2019-04-09,8,2428.81,3369.36,5798.17
2019-04-09,9,2361.002,3319.144,5680.146
2019-04-09,10,2415.81,3351.398,5767.208
2019-04-09,11,2335.678,3307.802,5643.48
2019-04-09,12,2172.976,3374.344,5547.32
2019-04-09,13,2096.734,3140.032,5236.766
2019-04-09,14,2121.03,3219.934,5340.964
2019-04-09,15,2062.666,3324.634,5387.3
2019-04-09,16,2051.97,3388.212,5440.182
2019-04-09,17,2081.25,3475.256,5556.506
2019-04-09,18,1970.264,3549.878,5520.142
2019-04-09,19,1902.256,3740.49,5642.746
2019-04-09,20,1841.924,3889.68,5731.604
2019-04-09,21,1844.978,4056.542,5901.52
2019-04-09,22,1818.558,4204.396,6022.954
2019-04-09,23,1834.666,4211.3,6045.966
2019-04-09,24,1747.012,4135.042,5882.054
2019-04-09,25,1685.552,3941.922,5627.474
2019-04-09,26,1652.13,3659.59,5311.72
2019-04-09,27,1574.566,3621.942,5196.508
2019-04-09,28,1531.14,3722.368,5253.508
2019-04-09,29,1524.108,3838.774,5362.882
2019-04-09,30,1470.972,3853.72,5324.692
2019-04-09,31,1427.29,3865.28,5292.57
2019-04-09,32,1391.172,3963.824,5354.996
2019-04-09,33,1394.664,3965.244,5359.908
2019-04-09,34,1344.77,3958.208,5302.978
2019-04-09,35,1314.432,4227.01,5541.442
2019-04-09,36,1301.348,4424.194,5725.542
2019-04-09,37,1289.798,4542.48,5832.278
2019-04-09,38,1224.362,4761.826,5986.188
2019-04-09,39,1153.616,5004.656,6158.272
2019-04-09,40,1063.174,5321.48,6384.654
2019-04-09,41,1029.504,5439.918,6469.422
2019-04-09,42,991.18,5455.642,6446.822
2019-04-09,43,985.09,5369.91,6355
2019-04-09,44,946.528,5422.612,6369.14
2019-04-09,45,885.414,5389.964,6275.378
2019-04-09,46,864.002,5333.93,6197.932
2019-04-09,47,808.324,5055.404,5863.728
2019-04-09,48,764.83,5009.064,5773.894
2019-04-10,1,713.016,4861.636,5574.652
2019-04-10,2,705.076,4562.946,5268.022
2019-04-10,3,669.058,4307.902,4976.96
2019-04-10,4,600.862,4246.898,4847.76
2019-04-10,5,616.672,4138.722,4755.394
2019-04-10,6,628.612,4101.004,4729.616
2019-04-10,7,580.434,4019.454,4599.888
2019-04-10,8,492.068,3916.48,4408.548
2019-04-10,9,464.09,3796.388,4260.478
2019-04-10,10,472.294,3770.192,4242.486
2019-04-10,11,467.902,3798.494,4266.396
2019-04-10,12,460.064,3630.776,4090.84
2019-04-10,13,417.154,3428.854,3846.008
2019-04-10,14,377.892,3387.058,3764.95
2019-04-10,15,326.878,3417.884,3744.762
2019-04-10,16,272.854,3375.79,3648.644
2019-04-10,17,216.002,3281.35,3497.352
2019-04-10,18,188.92,3191.902,3380.822
2019-04-10,19,189.564,3178.434,3367.998
2019-04-10,20,201.806,3075.512,3277.318
2019-04-10,21,202.012,3132.982,3334.994
2019-04-10,22,194.652,3062.734,3257.386
2019-04-10,23,192.392,2929.108,3121.5
2019-04-10,24,193.618,2844.578,3038.196
2019-04-10,25,185.196,2874.574,3059.77
2019-04-10,26,192.342,2854.558,3046.9
2019-04-10,27,212.206,2877.356,3089.562
2019-04-10,28,206.656,3004.292,3210.948
2019-04-10,29,206.336,3046.578,3252.914
2019-04-10,30,221.568,3057.136,3278.704
2019-04-10,31,223.118,2864.206,3087.324
2019-04-10,32,218.962,2872.438,3091.4
2019-04-10,33,226.402,2851.064,3077.466
2019-04-10,34,216.954,2784.16,3001.114
2019-04-10,35,216.9,2760.718,2977.618
2019-04-10,36,225.862,2711.342,2937.204
2019-04-10,37,235.422,2688.924,2924.346
2019-04-10,38,236.496,2703.14,2939.636
2019-04-10,39,266.09,2785.084,3051.174
2019-04-10,40,269.474,2829.862,3099.336
2019-04-10,41,287.252,2814.114,3101.366
2019-04-10,42,302.506,2864.03,3166.536
2019-04-10,43,316.45,2915.82,3232.27
2019-04-10,44,330.282,3020.358,3350.64
2019-04-10,45,360.024,3152.002,3512.026
2019-04-10,46,360.594,3439.354,3799.948
2019-04-10,47,344.246,3563.378,3907.624
2019-04-10,48,358.102,3617.116,3975.218
2019-04-11,1,356.012,3500.008,3856.02
2019-04-11,2,347.11,3414.274,3761.384
2019-04-11,3,341.03,3392.586,3733.616
2019-04-11,4,325.978,3248.316,3574.294
2019-04-11,5,341.294,3141.39,3482.684
2019-04-11,6,346.586,3146.712,3493.298
2019-04-11,7,344.434,2975.47,3319.904
2019-04-11,8,366.95,2792.316,3159.266
2019-04-11,9,399.358,2707.51,3106.868
2019-04-11,10,462.444,2503.164,2965.608
2019-04-11,11,470.54,2387.374,2857.914
2019-04-11,12,457.734,2255.788,2713.522
2019-04-11,13,445.73,2114.82,2560.55
2019-04-11,14,445.662,2164.236,2609.898
2019-04-11,15,434.702,2074.428,2509.13
2019-04-11,16,413.852,2108.628,2522.48
2019-04-11,17,395.784,2058.386,2454.17
2019-04-11,18,372.876,1992.374,2365.25
2019-04-11,19,386.812,2012.768,2399.58
2019-04-11,20,412.572,2045.604,2458.176
2019-04-11,21,446.532,2074.492,2521.024
2019-04-11,22,455.262,1849.65,2304.912
2019-04-11,23,461.942,1609.574,2071.516
2019-04-11,24,470.44,1354.816,1825.256
2019-04-11,25,445.812,1210.064,1655.876
2019-04-11,26,412.698,1000.722,1413.42
2019-04-11,27,397.364,906.484,1303.848
2019-04-11,28,383.048,850.376,1233.424
2019-04-11,29,368.2,792.206,1160.406
2019-04-11,30,357.356,767.17,1124.526
2019-04-11,31,364.844,728.572,1093.416
2019-04-11,32,363.248,742.038,1105.286
2019-04-11,33,352.186,837.722,1189.908
2019-04-11,34,333.572,894.006,1227.578
2019-04-11,35,334.742,917.888,1252.63
2019-04-11,36,332.48,943.108,1275.588
2019-04-11,37,329.604,1056.456,1386.06
2019-04-11,38,317.638,1061.02,1378.658
2019-04-11,39,315.084,1061.048,1376.132
2019-04-11,40,328.076,1147.916,1475.992
2019-04-11,41,347.468,1285.602,1633.07
2019-04-11,42,341.496,1374.36,1715.856
2019-04-11,43,326.144,1356.534,1682.678
2019-04-11,44,303.248,1386.306,1689.554
2019-04-11,45,275.328,1307.68,1583.008
2019-04-11,46,261.118,1324.718,1585.836
2019-04-11,47,264.518,1267.316,1531.834
2019-04-11,48,277.638,1349.196,1626.834
2019-04-12,1,293.53,1597.096,1890.626
2019-04-12,2,332.154,1807.358,2139.512
2019-04-12,3,351.418,1867.706,2219.124
2019-04-12,4,377.586,1973.02,2350.606
2019-04-12,5,425.006,2064.596,2489.602
2019-04-12,6,477.854,1952.358,2430.212
2019-04-12,7,538.098,1886.626,2424.724
2019-04-12,8,582.81,1877.748,2460.558
2019-04-12,9,605.484,1951.688,2557.172
2019-04-12,10,595.43,2062.202,2657.632
2019-04-12,11,573.14,2021.434,2594.574
2019-04-12,12,589.774,1963.61,2553.384
2019-04-12,13,661.996,1995.316,2657.312
2019-04-12,14,781.912,2069.106,2851.018
2019-04-12,15,975.136,2171.604,3146.74
2019-04-12,16,1206.592,2355.74,3562.332
2019-04-12,17,1392.97,2428.156,3821.126
2019-04-12,18,1510.25,2303.378,3813.628
2019-04-12,19,1669.744,2260.996,3930.74
2019-04-12,20,1752.558,2061.024,3813.582
2019-04-12,21,1867.02,2217.306,4084.326
2019-04-12,22,1941.8,2121.604,4063.404
2019-04-12,23,2058.4,2048.382,4106.782
2019-04-12,24,2209.53,1962.916,4172.446
2019-04-12,25,2336.232,1767.732,4103.964
2019-04-12,26,2359.182,1461.768,3820.95
2019-04-12,27,2422.454,1259.956,3682.41
2019-04-12,28,2518.658,1230.472,3749.13
2019-04-12,29,2637.456,1122.96,3760.416
2019-04-12,30,2726.958,1065.216,3792.174
2019-04-12,31,2872.046,992.928,3864.974
2019-04-12,32,2893.772,1094.72,3988.492
2019-04-12,33,2912.514,1254.052,4166.566
2019-04-12,34,3014.116,1675.074,4689.19
2019-04-12,35,3060.394,1885.91,4946.304
2019-04-12,36,3055.726,1922.492,4978.218
2019-04-12,37,2972.652,2026.462,4999.114
2019-04-12,38,2831.672,2100.136,4931.808
2019-04-12,39,2788.052,2080.292,4868.344
2019-04-12,40,2793.322,2128.336,4921.658
2019-04-12,41,2812.15,2552.614,5364.764
2019-04-12,42,2820.656,2802.226,5622.882
2019-04-12,43,2866.346,2786.954,5653.3
2019-04-12,44,2982.912,3156.98,6139.892
2019-04-12,45,3036.758,3465.462,6502.22
2019-04-12,46,2942.598,3463.002,6405.6
2019-04-12,47,2911.042,3399.19,6310.232
2019-04-12,48,2945.406,3073.912,6019.318
2019-04-13,1,2906.652,2825.12,5731.772
