Date,Settlement_Period,Generator_Name,Generator_Full_Name,BOA_Volume
2024-04-01,1,CUMHW-1,Cumberhead (Revised),-3.438
2024-04-01,1,KENNW-1,Kennoxhead Phase 1,-0.108
2024-04-01,42,GORDW-2,Gordonbush Ext,-13.584
2024-04-01,42,SGRWO-1,Seagreen 1,-193.834
2024-04-01,42,SGRWO-2,Seagreen 2,-48.566
2024-04-01,43,BABAW-1,Baillie,-18.266
2024-04-01,43,BRYBW-1,Berry Burn,-15.434
2024-04-01,43,GORDW-2,Gordonbush Ext,-21.016
2024-04-01,43,HALSW-1,Halsary Forest,-18.2
2024-04-01,43,SGRWO-1,Seagreen 1,-275.934
2024-04-01,43,SGRWO-2,Seagreen 2,-65.984
2024-04-01,44,BABAW-1,Baillie,-26
2024-04-01,44,BRYBW-1,Berry Burn,-26
2024-04-01,44,CRMLW-1,Corriemoillie,-13.884
2024-04-01,44,GORDW-2,Gordonbush Ext,-22
2024-04-01,44,HALSW-1,Halsary Forest,-21
2024-04-01,44,SGRWO-1,Seagreen 1,-260.966
2024-04-01,44,SGRWO-2,Seagreen 2,-62.984
2024-04-01,45,BABAW-1,Baillie,-28
2024-04-01,45,BRYBW-1,Berry Burn,-15.216
2024-04-01,45,CRMLW-1,Corriemoillie,-3.684
2024-04-01,45,GORDW-2,Gordonbush Ext,-24
2024-04-01,45,HALSW-1,Halsary Forest,-20
2024-04-01,45,SGRWO-1,Seagreen 1,-252.034
2024-04-01,45,SGRWO-2,Seagreen 2,-61
2024-04-01,46,BABAW-1,Baillie,-29
2024-04-01,46,GORDW-2,Gordonbush Ext,-22
2024-04-01,46,HALSW-1,Halsary Forest,-19
2024-04-01,46,SGRWO-1,Seagreen 1,-219.334
2024-04-01,46,SGRWO-2,Seagreen 2,-40.016
2024-04-01,47,BABAW-1,Baillie,-10.45
2024-04-01,47,BHLAW-1,Bhlaraidh,-11
2024-04-01,47,HALSW-1,Halsary Forest,-19
2024-04-01,47,SGRWO-1,Seagreen 1,-190.016
2024-04-01,47,SGRWO-2,Seagreen 2,-41.566
2024-04-01,47,SGRWO-4,Seagreen 4,-44.784
2024-04-01,47,SGRWO-5,Seagreen 5,-38.616
2024-04-01,48,BABAW-1,Baillie,-25.934
2024-04-01,48,BHLAW-1,Bhlaraidh,-25.166
2024-04-01,48,GORDW-2,Gordonbush Ext,-23.6
2024-04-01,48,HALSW-1,Halsary Forest,-20
2024-04-01,48,SGRWO-1,Seagreen 1,-190.984
2024-04-01,48,SGRWO-2,Seagreen 2,-46
2024-04-01,48,SGRWO-4,Seagreen 4,-92.984
2024-04-01,48,SGRWO-5,Seagreen 5,-53
2024-04-02,1,BABAW-1,Baillie,-6.45
2024-04-02,1,BHLAW-1,Bhlaraidh,-5.316
2024-04-02,1,GORDW-2,Gordonbush Ext,-24.034
2024-04-02,1,HALSW-1,Halsary Forest,-4.2
2024-04-02,1,SGRWO-1,Seagreen 1,-189.916
2024-04-02,1,SGRWO-2,Seagreen 2,-45.984
2024-04-02,1,SGRWO-4,Seagreen 4,-91.966
2024-04-02,1,SGRWO-5,Seagreen 5,-17.416
2024-04-02,2,GORDW-2,Gordonbush Ext,-26
2024-04-02,2,SGRWO-1,Seagreen 1,-185.966
2024-04-02,2,SGRWO-2,Seagreen 2,-44.984
2024-04-02,2,SGRWO-4,Seagreen 4,-52.666
2024-04-02,3,GORDW-2,Gordonbush Ext,-27.984
2024-04-02,3,SGRWO-1,Seagreen 1,-185
2024-04-02,3,SGRWO-2,Seagreen 2,-23.55
2024-04-02,3,SGRWO-5,Seagreen 5,-13.3
2024-04-02,4,BHLAW-1,Bhlaraidh,-1.066
2024-04-02,4,GORDW-2,Gordonbush Ext,-26.966
2024-04-02,4,SGRWO-1,Seagreen 1,-184.95
2024-04-02,4,SGRWO-2,Seagreen 2,-44.984
2024-04-02,4,SGRWO-4,Seagreen 4,-82.7
