Date,Period,Actual,Curtailment,Available,InstalledCapacity,CF,CurtailmentRate
2023-07-01,1,9345.912,1403.172,10749.084,29349.0,0.3184405601553716,0.13053875102287785
2023-07-01,2,8970.054,1796.408,10766.462,29349.0,0.3056340590820812,0.16685221198941677
2023-07-01,3,9211.686,1841.234,11052.92,29349.0,0.31386711642645404,0.16658349105937614
2023-07-01,4,9481.8,1774.564,11256.364,29349.0,0.32307063273024633,0.15764984145857402
2023-07-01,5,9789.518,1487.256,11276.774,29349.0,0.3335554192647109,0.13188665481812442
2023-07-01,6,9760.722,1380.786,11141.508,29349.0,0.3325742614739855,0.12393169757630655
2023-07-01,7,9947.61,1295.286,11242.896,29349.0,0.33894204231830727,0.11520928415596836
2023-07-01,8,9989.686,1384.156,11373.842,29349.0,0.34037568571331217,0.12169643292037993
2023-07-01,9,9907.642,1569.006,11476.648,29349.0,0.33758022419843947,0.13671291478138914
2023-07-01,10,9815.81,1659.2,11475.01,29349.0,0.33445125898667755,0.14459246658608577
2023-07-01,11,9723.428,1650.048,11373.476,29349.0,0.3313035537837746,0.14507860217931615
2023-07-01,12,9748.232,1692.458,11440.69,29349.0,0.3321486933115268,0.14793321032210469
2023-07-01,13,9209.384,2518.544,11727.928,29349.0,0.3137886810453508,0.21474756666309683
2023-07-01,14,9245.348,2564.264,11809.612,29349.0,0.3150140720297114,0.21713363656655277
2023-07-01,15,9489.756,2604.976,12094.732,29349.0,0.32334171522028005,0.21538104358161886
2023-07-01,16,9548.942,2604.584,12153.525999999998,29349.0,0.32535834270332886,0.21430686041236102
2023-07-01,17,9528.466,2544.558,12073.024,29349.0,0.32466066986950154,0.21076393122385909
2023-07-01,18,9356.608,2679.788,12036.396,29349.0,0.3188050018739991,0.22264039833850596
2023-07-01,19,9342.232,3165.008,12507.24,29349.0,0.31831517257828207,0.25305407108202926
2023-07-01,20,9186.028,3599.14,12785.168,29349.0,0.3129928788033664,0.2815090110665734
2023-07-01,21,9213.902,3999.502,13213.404,29349.0,0.31394262155439706,0.3026852126825154
2023-07-01,22,9160.696,3979.264,13139.96,29349.0,0.3121297488841187,0.3028368427301149
2023-07-01,23,9664.294,3833.214,13497.508,29349.0,0.32928869808170635,0.28399420100362227
2023-07-01,24,9783.246,4278.296,14061.542,29349.0,0.33334171522028005,0.3042551094325217
2023-07-01,25,9817.054,4863.218,14680.272,29349.0,0.3344936454393676,0.33127574202984794
2023-07-01,26,9721.31,4896.014,14617.324,29349.0,0.3312313877815258,0.3349459860094775
2023-07-01,27,10131.08,4893.82,15024.9,29349.0,0.3451933626358649,0.3257139814574473
2023-07-01,28,10221.438,4767.508,14988.946,29349.0,0.3482721046713687,0.31806826177104114
2023-07-01,29,10583.332,4531.868,15115.2,29349.0,0.3606028144059423,0.2998219011326347
2023-07-01,30,10771.384,4498.85,15270.234,29349.0,0.36701025588606084,0.29461565552957475
2023-07-01,31,10996.668,4631.032,15627.7,29349.0,0.37468629254829805,0.29633484133941657
2023-07-01,32,10942.544,4627.11,15569.654,29349.0,0.37284214112916964,0.2971877217053121
2023-07-01,33,11032.452,4469.174,15501.626,29349.0,0.37590555044464885,0.28830356247789746
2023-07-01,34,10918.696,4302.946,15221.642,29349.0,0.37202957511329177,0.2826860597562339
2023-07-01,35,10988.96,4269.464,15258.424,29349.0,0.3744236600906334,0.2798102870912487
2023-07-01,36,11391.365999999998,4225.358,15616.723999999998,29349.0,0.3881347234999488,0.2705662211869788
2023-07-01,37,11215.994,4717.744,15933.738,29349.0,0.3821593239974105,0.29608519984450604
2023-07-01,38,11262.328,4911.234,16173.562,29349.0,0.38373804899655867,0.30365815520415357
2023-07-01,39,10898.598,5126.56,16025.158,29349.0,0.371344781764285,0.31990698625249125
2023-07-01,40,10370.812,5255.516,15626.328,29349.0,0.3533616818290231,0.33632443911327087
2023-07-01,41,10174.856,5321.816,15496.672,29349.0,0.3466849296398514,0.34341670263137786
2023-07-01,42,10182.494,5546.564,15729.058,29349.0,0.34694517700773453,0.35263167063151524
2023-07-01,43,10019.16,5622.236,15641.396,29349.0,0.3413799448022079,0.35944592157886673
2023-07-01,44,10705.954000000002,5588.59,16294.544000000002,29349.0,0.3647808783944939,0.34297308350574274
2023-07-01,45,10691.793999999998,5588.638,16280.431999999995,29349.0,0.3642984088043885,0.34327332345972156
2023-07-01,46,10427.274,5521.298,15948.572,29349.0,0.35528549524685676,0.3461938786745296
2023-07-01,47,10263.352,5265.524,15528.876,29349.0,0.34970022828716485,0.33907953157717274
2023-07-01,48,10295.574,5269.782,15565.356,29349.0,0.3507981191863437,0.33855839853582537
2023-07-02,1,10305.514,5261.332,15566.846,29349.0,0.35113680193533,0.33798317269920963
2023-07-02,2,10742.208,5183.348,15925.556,29349.0,0.3660161504650925,0.3254735972797433
2023-07-02,3,10846.11,4939.704,15785.814,29349.0,0.3695563733006236,0.3129204487016
2023-07-02,4,10116.04,4222.344,14338.384000000002,29349.0,0.3446809090599339,0.29447837357403733
2023-07-02,5,8316.366,3247.804,11564.17,29349.0,0.2833611366656445,0.2808505928224853
2023-07-02,6,8239.654,3205.128,11444.782,29349.0,0.2807473508467069,0.2800514679965071
2023-07-02,7,8213.456,3318.546,11532.002,29349.0,0.2798547139595898,0.28776842043558437
2023-07-02,8,8057.093999999999,3401.628,11458.722,29349.0,0.2745270366963099,0.2968592832603846
2023-07-02,9,7575.868,3730.738,11306.606,29349.0,0.2581303621929197,0.3299609095779936
2023-07-02,10,7163.568,4124.05,11287.618,29349.0,0.2440821833793315,0.3653605215910035
2023-07-02,11,7089.9580000000005,4092.856,11182.814,29349.0,0.24157409111042968,0.3659951779578915
2023-07-02,12,7426.576,3954.044,11380.62,29349.0,0.25304357899758084,0.3474366071444262
2023-07-02,13,7497.338,3718.272,11215.61,29349.0,0.25545463218508296,0.3315265063603317
2023-07-02,14,7506.1,3333.34,10839.44,29349.0,0.2557531772803162,0.30751957665709667
2023-07-02,15,7517.356,3153.978,10671.334,29349.0,0.2561366997171965,0.2955561132282056
2023-07-02,16,7624.252,2969.798,10594.05,29349.0,0.2597789362499574,0.28032697599124035
2023-07-02,17,7606.812,2924.28,10531.092,29349.0,0.2591847081672289,0.27768060520219556
2023-07-02,18,7469.846,2891.136,10360.982,29349.0,0.2545179052097175,0.2790407318534093
2023-07-02,19,7690.858,2728.536,10419.394,29349.0,0.2620483832498552,0.2618708919155951
2023-07-02,20,7744.117999999999,2436.38,10180.498,29349.0,0.26386309584653644,0.23931835161698378
2023-07-02,21,7997.832,2155.086,10152.918,29349.0,0.27250781968721255,0.21226272092417173
2023-07-02,22,8565.554,1874.866,10440.42,29349.0,0.29185164741558484,0.1795776415125062
2023-07-02,23,9147.712,1619.102,10766.814,29349.0,0.31168734880234417,0.15037893289509785
2023-07-02,24,9172.364,1583.018,10755.382,29349.0,0.3125273092779992,0.1471838006311631
2023-07-02,25,9291.87,1621.566,10913.436,29349.0,0.31659920269855873,0.1485843688458887
