Date,Period,Actual,Curtailment,Available
2023-04-09,26,5336.632,2648.714,7985.346
2023-04-09,27,5510.042,2654.782,8164.8240000000005
2023-04-09,28,5945.5419999999995,2482.566,8428.108
2023-04-09,29,6085.156,2619.416,8704.572
2023-04-09,30,6157.13,2730.082,8887.212
2023-04-09,31,6575.16,2662.668,9237.828
2023-04-09,32,6879.9580000000005,2667.932,9547.89
2023-04-09,33,6771.344000000001,3246.64,10017.984
2023-04-09,34,6710.162,3585.9700000000003,10296.132000000001
2023-04-09,35,6673.545999999999,4144.702,10818.248
2023-04-09,36,6680.174,4240.65,10920.824
2023-04-09,37,6559.438,4464.126,11023.564
2023-04-09,38,6811.237999999999,4557.018,11368.256
2023-04-09,39,7060.222,4654.502,11714.724
2023-04-09,40,7390.456,4637.5,12027.956
2023-04-09,41,7361.686,4758.234,12119.92
2023-04-09,42,7550.32,4765.648,12315.968
2023-04-09,43,7729.74,4868.202,12597.942
2023-04-09,44,7801.17,4896.904,12698.074
2023-04-09,45,7811.777999999999,5075.698,12887.475999999999
2023-04-09,46,7864.598,5144.548,13009.146
2023-04-09,47,7994.96,5472.91,13467.869999999999
2023-04-09,48,8208.11,5227.304,13435.414
2023-04-10,1,8532.496,5190.486,13722.982
2023-04-10,2,9212.58,5028.758,14241.338
2023-04-10,3,9491.003999999999,4672.206,14163.21
2023-04-10,4,9622.896,4411.178,14034.074
2023-04-10,5,9796.548,4010.882,13807.43
2023-04-10,6,9732.244,3784.114,13516.358
2023-04-10,7,9669.975999999999,3519.384,13189.359999999999
2023-04-10,8,9624.163999999999,3304.95,12929.113999999998
2023-04-10,9,9495.678,3000.498,12496.176
2023-04-10,10,9292.91,2923.156,12216.065999999999
2023-04-10,11,8984.516,2906.668,11891.184
2023-04-10,12,8735.646,2874.466,11610.112000000001
2023-04-10,13,8614.058,2892.44,11506.498000000001
2023-04-10,14,8551.468,3286.532,11838.0
2023-04-10,15,8622.0,3236.608,11858.608
2023-04-10,16,8615.606,2986.808,11602.414
2023-04-10,17,8861.199999999999,2616.948,11478.148
2023-04-10,18,8822.93,2372.354,11195.284
2023-04-10,19,8940.336,2323.77,11264.106
2023-04-10,20,9157.7,2040.296,11197.996000000001
2023-04-10,21,9437.33,1599.72,11037.05
2023-04-10,22,9420.192000000001,1501.202,10921.394
2023-04-10,23,9032.858,1228.568,10261.426
2023-04-10,24,9522.66,632.612,10155.271999999999
2023-04-10,25,9617.968,617.648,10235.616
2023-04-10,26,9756.232,641.486,10397.718
2023-04-10,27,8341.96,2142.072,10484.032
2023-04-10,28,7477.992,2383.054,9861.046
2023-04-10,29,7609.758,2390.642,10000.4
2023-04-10,30,7745.3279999999995,3108.278,10853.606
2023-04-10,31,8048.446,3202.028,11250.474
2023-04-10,32,8314.776,2875.57,11190.346
2023-04-10,33,9770.666,2049.132,11819.797999999999
2023-04-10,34,10037.122,2149.358,12186.48
2023-04-10,35,9674.458,2231.526,11905.984
2023-04-10,36,10219.184000000001,2186.474,12405.658000000001
2023-04-10,37,10122.992,2376.672,12499.664
2023-04-10,38,9863.734,2422.92,12286.654
2023-04-10,39,9545.797999999999,2497.806,12043.604
2023-04-10,40,9196.414,2557.356,11753.77
2023-04-10,41,9371.664,2223.68,11595.344000000001
2023-04-10,42,9708.367999999999,2055.742,11764.109999999999
2023-04-10,43,9671.136,1947.554,11618.69
2023-04-10,44,9614.106000000002,2003.072,11617.178000000002
2023-04-10,45,9596.056,2157.56,11753.616
2023-04-10,46,9643.178,2390.322,12033.5
2023-04-10,47,9946.091999999999,2311.152,12257.243999999999
2023-04-10,48,10001.939999999999,2606.138,12608.077999999998
2023-04-11,1,9987.952000000001,2859.774,12847.726
2023-04-11,2,9896.297999999999,2974.174,12870.471999999998
2023-04-11,3,9903.412,3234.566,13137.978
2023-04-11,4,10323.17,2805.444,13128.614
2023-04-11,5,10334.352,2855.364,13189.716
2023-04-11,6,10297.226,2527.952,12825.178
2023-04-11,7,10323.923999999999,2643.334,12967.257999999998
2023-04-11,8,10276.52,2634.214,12910.734
2023-04-11,9,9652.892,3368.368,13021.26
2023-04-11,10,9556.468,3156.896,12713.364000000001
2023-04-11,11,9340.91,3233.648,12574.558
2023-04-11,12,9221.446,3284.696,12506.142
2023-04-11,13,9057.438,3154.108,12211.546
2023-04-11,14,8885.796,2783.384,11669.18
2023-04-11,15,9157.184,2191.606,11348.789999999999
2023-04-11,16,9049.166,1780.346,10829.511999999999
2023-04-11,17,8802.243999999999,1518.906,10321.149999999998
2023-04-11,18,8456.472,1198.894,9655.366
2023-04-11,19,8256.618,776.992,9033.61
2023-04-11,20,7867.802000000001,537.814,8405.616
2023-04-11,21,7690.304,387.484,8077.7880000000005
2023-04-11,22,7178.072,356.552,7534.624
2023-04-11,23,7259.818,207.592,7467.41
2023-04-11,24,7567.8279999999995,136.188,7704.016
2023-04-11,25,7789.518,52.91,7842.428
2023-04-11,26,7347.642,171.654,7519.296
2023-04-11,27,7397.714,325.966,7723.68
2023-04-11,28,7515.01,392.774,7907.784000000001
2023-04-11,29,7742.732,368.916,8111.648
2023-04-11,30,8107.094,819.026,8926.12
2023-04-11,31,8523.98,946.932,9470.912
2023-04-11,32,9129.931999999999,798.316,9928.248
2023-04-11,33,9784.756,645.7860000000001,10430.542
2023-04-11,34,10178.79,668.428,10847.218
2023-04-11,35,10397.99,1337.336,11735.326
2023-04-11,36,10389.743999999999,2257.156,12646.899999999998
2023-04-11,37,10155.032,3085.148,13240.18
2023-04-11,38,9591.472,4163.904,13755.376
2023-04-11,39,9513.264,4807.016,14320.279999999999
2023-04-11,40,9521.352,4962.618,14483.970000000001
2023-04-11,41,9605.648,5116.766,14722.413999999999
2023-04-11,42,9397.618,5236.11,14633.728
2023-04-11,43,9165.888,5255.414,14421.302
2023-04-11,44,9113.346,5309.87,14423.216
2023-04-11,45,9485.856,5070.852,14556.707999999999
2023-04-11,46,9574.67,4205.134,13779.804
2023-04-11,47,9595.142,4072.652,13667.794
2023-04-11,48,9769.65,4481.382,14251.032
2023-04-12,1,9770.184000000001,4629.306,14399.490000000002
2023-04-12,2,9852.11,4226.454,14078.564
2023-04-12,3,9812.642,4338.864,14151.506
2023-04-12,4,9387.184000000001,4670.2,14057.384000000002
2023-04-12,5,9426.836,4425.33,13852.166
2023-04-12,6,9584.948,4499.27,14084.218
2023-04-12,7,9364.326,5150.512,14514.838
2023-04-12,8,9375.050000000001,5028.606,14403.656
2023-04-12,9,9166.872000000001,5199.24,14366.112000000001
2023-04-12,10,8898.91,5364.598,14263.508
2023-04-12,11,8366.066,5782.198,14148.264000000001
2023-04-12,12,7969.602,5921.296,13890.898000000001
2023-04-12,13,7646.664,5715.418,13362.081999999999
2023-04-12,14,7298.356000000001,5675.372,12973.728000000001
2023-04-12,15,7094.34,5562.456,12656.796
2023-04-12,16,7466.718000000001,5174.864,12641.582
2023-04-12,17,7693.95,4671.07,12365.02
2023-04-12,18,7866.874,4246.092,12112.966
2023-04-12,19,8228.446,3850.91,12079.356
2023-04-12,20,8479.984,4047.608,12527.592
2023-04-12,21,8886.678,3849.034,12735.712
2023-04-12,22,9360.387999999999,3765.55,13125.937999999998
2023-04-12,23,9270.334,3566.342,12836.676000000001
